coordination,base_planner,problem_id,difficulty,trial_seed,success,planner_solved,audit_passed,planning_time_seconds,path_makespan_seconds,path_mean_agent_time_seconds,path_cost,tree_nodes,high_level_nodes,iterations,checked_waypoints,error
crrt,vanilla,0,easy,2026082209,False,False,False,30.03903089999585,,,,199,199,210,62649,
crrt,vanilla,0,easy,2026082210,False,False,False,30.017628000001423,,,,194,194,201,61203,
crrt,vanilla,0,easy,2026082211,True,True,True,14.15127709999797,0.44,0.44,1.76,91,91,91,30786,
crrt,vanilla,0,easy,2026082212,False,False,False,30.04733789999591,,,,194,194,197,60170,
crrt,vanilla,0,easy,2026082213,False,False,False,30.02584869999555,,,,179,179,214,62134,
crrt,vanilla,0,easy,2026082214,True,True,True,15.936274500003492,0.9400000000000001,0.5,2.0,109,109,112,34952,
crrt,vanilla,0,easy,2026082215,False,False,False,30.024713699996937,,,,287,287,318,90266,
crrt,vanilla,0,easy,2026082216,False,False,False,30.014208199994755,,,,310,310,319,88245,
crrt,vanilla,0,easy,2026082217,False,False,False,30.010012399994594,,,,301,301,324,88237,
crrt,vanilla,0,easy,2026082218,False,False,False,30.094946199998958,,,,298,298,313,90814,
crrt,vanilla,0,easy,2026082219,False,False,False,30.07198330000392,,,,284,284,303,90985,
crrt,vanilla,1,medium,2026082200,False,False,False,30.01751240000158,,,,281,281,308,89585,
crrt,vanilla,1,medium,2026082201,False,False,False,30.011370200001693,,,,251,251,292,90177,
crrt,vanilla,1,medium,2026082202,False,False,False,30.10497700000269,,,,272,272,307,94355,
crrt,vanilla,1,medium,2026082203,False,False,False,30.125934799994866,,,,257,257,297,93692,
crrt,vanilla,1,medium,2026082204,False,False,False,30.057579699998314,,,,266,266,300,93480,
crrt,vanilla,1,medium,2026082205,False,False,False,30.072418499999912,,,,272,272,299,91762,
crrt,vanilla,1,medium,2026082206,False,False,False,30.042478400006075,,,,187,187,195,65038,
crrt,vanilla,1,medium,2026082207,False,False,False,30.012544099998195,,,,201,201,213,66395,
crrt,vanilla,1,medium,2026082208,False,False,False,30.00504749999527,,,,183,183,192,63021,
crrt,vanilla,1,medium,2026082209,False,False,False,30.05027230000269,,,,181,181,204,62964,
crrt,vanilla,1,medium,2026082210,False,False,False,29.995227200000954,,,,179,179,200,64254,
crrt,vanilla,1,medium,2026082211,False,False,False,30.081304999999702,,,,191,191,201,65071,
crrt,vanilla,1,medium,2026082212,False,False,False,30.016817299998365,,,,191,191,191,64480,
crrt,vanilla,1,medium,2026082213,False,False,False,30.039160000000265,,,,185,185,203,60319,
crrt,vanilla,1,medium,2026082214,False,False,False,30.009832300005655,,,,184,184,200,61862,
crrt,vanilla,1,medium,2026082215,False,False,False,30.160229200002505,,,,180,180,201,62367,
crrt,vanilla,1,medium,2026082216,False,False,False,30.004271199999494,,,,191,191,201,63685,
crrt,vanilla,1,medium,2026082217,False,False,False,30.15101560000039,,,,175,175,206,62812,
crrt,vanilla,1,medium,2026082218,False,False,False,30.000094500006526,,,,192,192,202,62714,
crrt,vanilla,1,medium,2026082219,False,False,False,30.11181409999699,,,,185,185,201,65733,
crrt,vanilla,2,hard,2026082200,False,False,False,30.01923930000339,,,,194,194,198,65563,
crrt,vanilla,2,hard,2026082201,False,False,False,30.069667600000685,,,,174,174,180,57775,
crrt,vanilla,2,hard,2026082202,False,False,False,30.115814700002375,,,,191,191,192,63741,
crrt,vanilla,2,hard,2026082203,False,False,False,30.05136389999825,,,,200,200,210,65875,
crrt,vanilla,2,hard,2026082204,False,False,False,30.202027300001646,,,,184,184,195,62853,
crrt,vanilla,2,hard,2026082205,False,False,False,30.13195519999863,,,,191,191,196,61109,
crrt,vanilla,2,hard,2026082206,False,False,False,30.089811600002577,,,,190,190,200,61819,
crrt,vanilla,2,hard,2026082207,False,False,False,30.02408860000287,,,,205,205,207,67635,
crrt,vanilla,2,hard,2026082208,False,False,False,30.07716359999904,,,,276,276,297,89149,
crrt,vanilla,2,hard,2026082209,False,False,False,30.023686599997745,,,,271,271,288,83867,
crrt,vanilla,2,hard,2026082210,False,False,False,30.055299300001934,,,,273,273,294,86274,
crrt,vanilla,2,hard,2026082211,False,False,False,30.071544400001585,,,,253,253,266,85600,
crrt,vanilla,2,hard,2026082212,False,False,False,30.010215100002824,,,,262,262,277,88756,
crrt,vanilla,2,hard,2026082213,False,False,False,30.025743699996383,,,,283,283,312,93649,
crrt,vanilla,2,hard,2026082214,False,False,False,30.0760014999978,,,,292,292,312,93518,
crrt,vanilla,2,hard,2026082215,False,False,False,30.00997990000178,,,,275,275,299,84191,
crrt,vanilla,2,hard,2026082216,False,False,False,30.00909340000362,,,,268,268,280,91024,
crrt,vanilla,2,hard,2026082217,False,False,False,30.061394299998938,,,,287,287,305,90275,
crrt,vanilla,2,hard,2026082218,False,False,False,30.085831600001256,,,,285,285,303,91098,
crrt,vanilla,2,hard,2026082219,False,False,False,30.010980400002154,,,,283,283,314,89169,
kcbs,flow,0,easy,2026082200,True,True,True,5.986478899998474,1.16,0.5800000000000001,2.32,467,1,502,16633,
kcbs,flow,0,easy,2026082201,True,True,True,5.988497400001506,2.18,0.9750000000000001,3.8999999999999995,552,1,548,20773,
kcbs,flow,0,easy,2026082202,False,False,False,30.03461029999744,,,,3186,1,0,93919,
kcbs,flow,0,easy,2026082203,True,True,True,0.8196817999996711,0.62,0.45000000000000007,1.8,41,1,33,1420,
kcbs,flow,0,easy,2026082204,False,False,False,30.001511499998742,,,,3277,1,722,100444,
kcbs,flow,0,easy,2026082205,True,True,True,6.353427399997599,1.2,0.9299999999999999,3.72,512,1,537,18317,
kcbs,flow,0,easy,2026082206,False,False,False,30.016860399999132,,,,2907,1,225,95364,
kcbs,flow,0,easy,2026082207,True,True,True,3.8199709999971674,1.48,0.9349999999999999,3.74,286,1,283,10672,
kcbs,flow,0,easy,2026082208,True,True,True,5.687103699994623,1.3,0.905,3.62,445,1,441,16775,
kcbs,flow,0,easy,2026082209,False,False,False,30.012842999996792,,,,3420,1,34,96595,
kcbs,flow,0,easy,2026082210,False,False,False,30.000917000004847,,,,3222,1,24,99872,
kcbs,flow,0,easy,2026082211,True,True,True,3.634440399997402,1.34,0.8099999999999999,3.2399999999999998,233,1,231,9165,
kcbs,flow,0,easy,2026082212,True,True,True,8.075317599999835,1.0,0.7100000000000001,2.84,774,1,793,28371,
kcbs,flow,0,easy,2026082213,True,True,True,7.463086199997633,3.12,1.3800000000000001,5.5200000000000005,579,1,588,22560,
kcbs,flow,0,easy,2026082214,False,False,False,30.002568099997006,,,,3312,1,211,95844,
kcbs,flow,0,easy,2026082215,False,False,False,30.004029299998365,,,,3372,1,0,95108,
kcbs,flow,0,easy,2026082216,True,True,True,6.242558400001144,1.46,0.88,3.52,571,1,566,21240,
kcbs,flow,0,easy,2026082217,True,True,True,4.648916099999042,1.86,0.865,3.46,361,1,372,14093,
kcbs,flow,0,easy,2026082218,False,False,False,30.004404200000863,,,,3542,1,2,93761,
kcbs,flow,0,easy,2026082219,True,True,True,3.0111768999995547,1.34,0.74,2.96,191,1,188,8421,
kcbs,flow,1,medium,2026082200,False,False,False,30.002578699997684,,,,2540,5,2969,84974,
kcbs,flow,1,medium,2026082201,False,False,False,30.01663340000232,,,,3381,1,3883,94150,
kcbs,flow,1,medium,2026082202,False,False,False,30.00313190000452,,,,3222,1,1806,96407,
kcbs,flow,1,medium,2026082203,False,False,False,30.031191299996863,,,,1638,5,1892,89104,
kcbs,flow,1,medium,2026082204,False,False,False,30.00461969999742,,,,3132,1,0,94678,
kcbs,flow,1,medium,2026082205,False,False,False,30.058709400000225,,,,2804,1,0,83190,
kcbs,flow,1,medium,2026082206,False,False,False,30.001960900000995,,,,2052,1,996,68506,
kcbs,flow,1,medium,2026082207,False,False,False,30.009710600003018,,,,2189,1,0,70939,
kcbs,flow,1,medium,2026082208,False,False,False,30.010359300002165,,,,1936,1,261,63110,
kcbs,flow,1,medium,2026082209,False,False,False,30.012213999994856,,,,2470,1,0,76932,
kcbs,flow,1,medium,2026082210,False,False,False,29.995574699998542,,,,1984,1,946,69376,
